"Timestamp","1.  What is your age group  ","2. What is your occupation?","3. Which area do you currently live in?","4. Do you have access to internet?","5. What device do you mainly use for digital payments? ","6. Do you have access to a bank account or mobile wallet? ","7.  Have you ever used digital payment services (e.g., mobile banking, QR payments)? ","8.  How often do you use digital payments? ","9. What do you mainly use digital payments for?  (Select all that apply)","For the following statements, please select one option that best reflects your opinion( 1 = Strongly Agree, 2 = Agree, 3 = Neutral, 4 = Disagree, 5 = Strongly Disagree. ) [10.  I trust digital payment systems to be safe.]","For the following statements, please select one option that best reflects your opinion( 1 = Strongly Agree, 2 = Agree, 3 = Neutral, 4 = Disagree, 5 = Strongly Disagree. ) [11.  I believe digital payments are reliable for everyday use.]","For the following statements, please select one option that best reflects your opinion( 1 = Strongly Agree, 2 = Agree, 3 = Neutral, 4 = Disagree, 5 = Strongly Disagree. ) [12. I am concerned about security or fraud when using digital payments.]","13.   How familiar are you with digital payment systems? ","14. Have you heard about cryptocurrency?","15. How would you rate your understanding of cryptocurrency? ","16. What makes it difficult for you to use digital payments?  ( Select all that apply)","17. What would help you use digital financial systems more confidently? (Select all that apply","For the following statement, please select one option that best reflects your opinion( 1 = Strongly Agree, 2 = Agree, 3 = Neutral, 4 = Disagree, 5 = Strongly Disagree. )  [18. I feel ready to use more advanced digital financial systems in the future.]","19. If supported by clear rules and education, I would consider using cryptocurrency-based systems in the future. ","20. Overall, how ready do you think Bhutan is for advanced digital financial systems? "
"2026/01/29 10:12:26 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","1. Strongly agree","Very familiar","Yes","Basic","Poor internet;Lack of knowledge;Security concern;Complicated technology","Training or awareness programs","Strongly agree","Yes","Somewhat ready"
"2026/01/29 10:22:20 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services","2. Agree","1. Strongly agree","4. Disagree","Somewhat familiar","Yes","Very little","Poor internet;Lack of knowledge;Security concern","Training or awareness programs;Better internet access","Agree","Yes","Very ready"
"2026/01/29 10:25:39 AM GMT+6","18-24","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Basic","Poor internet;Lack of knowledge;Security concern;Complicated technology","Training or awareness programs;Better internet access","Neutral","Yes","Somewhat ready"
"2026/01/29 10:39:53 AM GMT+6","25-34","Unemployed ","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others;","2. Agree","2. Agree","2. Agree","Very familiar","Yes","Basic","Poor internet;Lack of knowledge;Security concern;Complicated technology;No difficulty","Training or awareness programs;Better internet access;","Strongly agree","Maybe","Somewhat ready"
"2026/01/29 10:47:55 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Bill and Services","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Good","Poor internet;Complicated technology","Training or awareness programs","Agree","Yes","Not very ready"
"2026/01/29 11:30:29 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","4. Disagree","4. Disagree","4. Disagree","Very familiar","Yes","Good","Poor internet","Better internet access","Strongly agree","Yes","Very ready"
"2026/01/29 11:43:26 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","1. Strongly agree","2. Agree","Somewhat familiar","Yes","Good","Poor internet;Lack of knowledge;Security concern;Complicated technology","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 11:46:01 AM GMT+6","18-24","Fresh graduate ","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Transfer to others","3. Neutral","3. Neutral","2. Agree","Somewhat familiar","Yes","Basic","Poor internet","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 12:27:55 PM GMT+6","18-24","Student","Rural","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","2. Agree","3. Neutral","2. Agree","Somewhat familiar","Yes","Basic","Poor internet;Security concern","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 12:55:09 PM GMT+6","25-34","","Urban","Yes","Smart phone","Yes","Yes","Occasionally","","2. Agree","3. Neutral","4. Disagree","Somewhat familiar","Yes","Basic","","","Agree","Maybe","Somewhat ready"
"2026/01/29 1:03:50 PM GMT+6","25-34","Working professional","Urban","Yes","Smart phone","Yes","Yes","Occasionally","Shopping;Bill and Services","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Basic","Complicated technology","Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 1:34:13 PM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Transfer to others","2. Agree","1. Strongly agree","1. Strongly agree","Very familiar","Yes","Good","No difficulty","Training or awareness programs","Strongly agree","Yes","Somewhat ready"
"2026/01/29 1:55:31 PM GMT+6","18-24","Student","Rural","Yes","Smart phone","Yes","Yes","Occasionally","Shopping;Bill and Services;Transfer to others","1. Strongly agree","2. Agree","1. Strongly agree","Somewhat familiar","Yes","Good","Poor internet","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 3:20:23 PM GMT+6","25-34","Working professional","Rural","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","3. Neutral","2. Agree","2. Agree","Very familiar","Yes","Good","Poor internet;Lack of knowledge;Security concern","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 5:41:34 PM GMT+6","18-24","Student","Urban","Yes","Both","Yes","Yes","Weekly","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","3. Neutral","Somewhat familiar","Yes","Good","Poor internet;Lack of knowledge;Complicated technology","Training or awareness programs;Better internet access","Agree","Maybe","Somewhat ready"
"2026/01/29 5:43:38 PM GMT+6","18-24","Student","Urban","Yes","Smart phone","","Yes","Occasionally","Shopping;Business transaction;Transfer to others","1. Strongly agree","1. Strongly agree","1. Strongly agree","Slightly familiar","Yes","Very little","Poor internet;Lack of knowledge;Security concern;Complicated technology","Training or awareness programs","Neutral","Maybe","Somewhat ready"
"2026/01/29 5:44:23 PM GMT+6","18-24","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","2. Agree","Very familiar","Yes","Basic","No difficulty","Better internet access","Disagree","Yes","Not very ready"
"2026/01/29 5:49:17 PM GMT+6","18-24","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","4. Disagree","1. Strongly agree","Very familiar","Yes","Basic","Lack of knowledge;Security concern;Complicated technology","Training or awareness programs;Better internet access;Strong government support, guidelines, and implementation of policies ","Strongly agree","Yes","Somewhat ready"
"2026/01/29 6:25:13 PM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","5. Strongly disagree","5. Strongly disagree","5. Strongly disagree","Very familiar","Yes","Good","No difficulty","Better internet access","Disagree","Yes","Somewhat ready"
"2026/01/29 7:22:15 PM GMT+6","35-44","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","1. Strongly agree","Very familiar","Yes","Very little","No difficulty","Training or awareness programs;Better internet access","Neutral","Maybe","Not very ready"
"2026/01/29 7:23:40 PM GMT+6","35-44","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","1. Strongly agree","1. Strongly agree","1. Strongly agree","Very familiar","Yes","Very little","Poor internet","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 7:24:57 PM GMT+6","35-44","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","1. Strongly agree","Very familiar","Yes","Very little","Poor internet;No difficulty","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/01/29 7:26:42 PM GMT+6","35-44","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","1. Strongly agree","Somewhat familiar","Yes","Very little","Poor internet","Training or awareness programs;Better internet access","Agree","Maybe","Somewhat ready"
"2026/01/29 7:29:30 PM GMT+6","35-44","Housewife ","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","1. Strongly agree","Slightly familiar","Yes","I only heard like upcoming ter which is kind of gold but i dont have any idea how to deal with it.","Poor internet;Lack of knowledge;Complicated technology;I am not really well literate so i jist know some basic to transfer money only","Training or awareness programs","Disagree","No","Somewhat ready"
"2026/01/29 8:10:42 PM GMT+6","18-24","Civil servant ","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","2. Agree","3. Neutral","2. Agree","Somewhat familiar","Yes","Basic","Poor internet","Training or awareness programs;Better internet access","Agree","Yes","Not very ready"
"2026/01/29 8:16:35 PM GMT+6","25-34","Working professional","Rural","Yes","Smart phone","Yes","Yes","Occasionally","Bill and Services","1. Strongly agree","1. Strongly agree","4. Disagree","Somewhat familiar","Yes","Good","Complicated technology","Training or awareness programs;Better internet access","Strongly agree","Yes","Somewhat ready"
"2026/01/29 9:01:00 PM GMT+6","18-24","Working professional","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","3. Neutral","3. Neutral","3. Neutral","Somewhat familiar","Yes","Very little","Security concern","Training or awareness programs","Agree","Yes","Somewhat ready"
"2026/01/29 9:06:55 PM GMT+6","25-34","Working professional","Semi-Urban","Yes","Smart phone","Yes","Yes","Daily","Bill and Services","1. Strongly agree","1. Strongly agree","1. Strongly agree","Very familiar","Yes","Good","Poor internet","Better internet access","Strongly agree","Yes","Very ready"
"2026/01/29 9:19:33 PM GMT+6","18-24","Student","Urban","Yes","Both","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Good","Poor internet","Training or awareness programs","Strongly agree","Yes","Very ready"
"2026/01/29 9:25:30 PM GMT+6","25-34","Working professional","Urban","Yes","Both","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","1. Strongly agree","2. Agree","Very familiar","Yes","Basic","Poor internet;Lack of knowledge;Complicated technology","Training or awareness programs;Better internet access","Strongly agree","Yes","Not very ready"
"2026/01/30 9:18:14 AM GMT+6","18-24","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","3. Neutral","1. Strongly agree","Somewhat familiar","Yes","Very little","Security concern","Training or awareness programs","Agree","Yes","Somewhat ready"
"2026/01/30 10:20:57 AM GMT+6","25-34","Working professional","Semi-Urban","Yes","Both","Yes","Yes","Daily","Shopping;Bill and Services","2. Agree","2. Agree","2. Agree","Very familiar","Yes","Good","Poor internet;Lack of knowledge;Security concern","Training or awareness programs;Better internet access","Agree","Maybe","Very ready"
"2026/02/01 12:01:12 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Occasionally","Shopping;Transfer to others","1. Strongly agree","2. Agree","2. Agree","Somewhat familiar","Yes","Basic","Poor internet","Training or awareness programs","Strongly agree","Maybe","Not very ready"
"2026/02/01 2:22:02 PM GMT+6","18-24","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping","3. Neutral","3. Neutral","3. Neutral","Somewhat familiar","Yes","Basic","Lack of knowledge","Training or awareness programs","Neutral","Maybe","Somewhat ready"
"2026/02/02 7:50:25 PM GMT+6","55+","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Daily","Bill and Services","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Good","Lack of knowledge;Security concern","Training or awareness programs","Agree","Maybe","Very ready"
"2026/02/02 7:50:41 PM GMT+6","45-54","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Business transaction;Transfer to others","1. Strongly agree","1. Strongly agree","1. Strongly agree","Very familiar","Yes","Basic","No difficulty","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/02/02 7:52:55 PM GMT+6","45-54","Unemployed ","Urban","Yes","Smart phone","Yes","Yes","Occasionally","Shopping;Transfer to others","2. Agree","2. Agree","1. Strongly agree","Slightly familiar","Yes","None","Poor internet;Complicated technology","Training or awareness programs;Better internet access;If i was more educated, it would have been easier to use","Disagree","No","I am not sure "
"2026/02/02 7:54:25 PM GMT+6","45-54","Working professional","Urban","Yes","Smart phone","Yes","Yes","Most of the time","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","2. Agree","Very familiar","Yes","Basic","Poor internet","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/02/02 7:55:57 PM GMT+6","45-54","Working professional","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","2. Agree","Very familiar","Yes","Good","No difficulty","Better internet access","Strongly agree","Yes","Somewhat ready"
"2026/02/02 7:57:26 PM GMT+6","45-54","Working professional","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Transfer to others","1. Strongly agree","1. Strongly agree","2. Agree","Very familiar","Yes","Basic","Poor internet","Better internet access","Strongly agree","Yes","Somewhat ready"
"2026/02/02 8:01:02 PM GMT+6","45-54","Housewife ","Urban","Yes","I dont use digital payments","Yes","No","Never","I dont use ","1. Strongly agree","1. Strongly agree","3. Neutral","Slightly familiar","No","None","I don't use. I go to bank physically when i have to withdraw money","If i was literate, it wouls have been very much easier for  me to use. Since i cannot read, i dont know how to use it.","Strongly disagree","No","I am not sure about that."
"2026/02/02 8:03:36 PM GMT+6","45-54","Unemployed (housewife)","Urban","Yes","I dont use digital payments","Yes","No","I dont use","I use cash","1. Strongly agree","1. Strongly agree","2. Agree","Not familiar at all","Yes","None","I don’t use. I use cash.","Training or awareness programs","Disagree","No","I am not sure about that "
"2026/02/02 8:05:24 PM GMT+6","45-54","Working professional","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Transfer to others","1. Strongly agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","Very little","Poor internet","Better internet access","Neutral","Maybe","Not very ready"
"2026/02/02 8:06:54 PM GMT+6","45-54","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Business transaction;Transfer to others","1. Strongly agree","1. Strongly agree","2. Agree","Somewhat familiar","Yes","Very little","Poor internet","Training or awareness programs;Better internet access","Neutral","Maybe","Somewhat ready"
"2026/02/02 8:08:21 PM GMT+6","45-54","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Business transaction;Transfer to others","1. Strongly agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","Basic","Poor internet","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/02/02 8:13:55 PM GMT+6","55+","Unemployed. I am looked after by my children.","Urban","No","I dont use digital payments","No","No","Never","I dont use. Instead i dont even own a phone. ","3. Neutral","3. Neutral","","Not familiar at all","No","None","Complicated technology;I am illiterate. I cant even use smart phone.","I am not very sure.","Strongly disagree","No","I am not sure "
"2026/02/02 8:16:07 PM GMT+6","35-44","Working professional","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Business transaction;Transfer to others","1. Strongly agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","Basic","Poor internet","Better internet access","Agree","Maybe","Somewhat ready"
"2026/02/03 9:54:31 AM GMT+6","55+","Unemployed ","Urban","Yes","I dont use digital payments","Yes","No","Never","I use cash","","","","Not familiar at all","No","None","Since i am not bale to read and write, i cannot use it.","I am not sure ","Strongly disagree","No","I have no idea about this "
"2026/02/03 9:56:01 AM GMT+6","55+","Retired","Urban","Yes","Smart phone","Yes","Yes","Sometimes ","Shopping;Transfer to others","1. Strongly agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","Very little","Complicated technology","Training or awareness programs","Disagree","No","I am not really sure about this."
"2026/02/03 9:58:21 AM GMT+6","55+","self-employed/enterpreneur","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Business transaction;Transfer to others","1. Strongly agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","None","No difficulty","For now, all good to me","Neutral","Maybe","I am not really sure if people are into such cryptocurrency. Based on my experience, i don't really see people talking about it. "
"2026/02/03 9:59:46 AM GMT+6","45-54","Working professional","Semi-Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","1. Strongly agree","Very familiar","Yes","Good","Sometimes poor internet.","All good.","Agree","Yes","Somewhat ready"
"2026/02/03 10:19:43 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Good","Lack of knowledge;Security concern;Complicated technology","Training or awareness programs;Better internet access","Agree","Maybe","Somewhat ready"
"2026/02/03 10:20:46 AM GMT+6","Under 18","","","","","","","","","","","","","","","","","","",""
"2026/02/03 10:23:54 AM GMT+6","","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","2. Agree","Very familiar","Yes","Good","Security concern;Complicated technology","Training or awareness programs;Better internet access","Agree","Maybe","Somewhat ready"
"2026/02/03 10:28:03 AM GMT+6","18-24","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Occasionally","Shopping;Transfer to others","1. Strongly agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","Good","Poor internet;Complicated technology","Better internet access","Strongly agree","Yes","Somewhat ready"
"2026/02/03 11:11:51 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Weekly","Shopping;Bill and Services;Business transaction;Transfer to others","1. Strongly agree","1. Strongly agree","3. Neutral","Very familiar","Yes","Basic","Poor internet;Security concern;Complicated technology","Better internet access","Strongly agree","Yes","Somewhat ready"
"2026/02/03 11:22:45 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Occasionally","Shopping;Business transaction;Transfer to others","2. Agree","3. Neutral","3. Neutral","Somewhat familiar","Yes","Basic","Poor internet","Training or awareness programs;Better internet access","Agree","Maybe","Somewhat ready"
"2026/02/03 11:49:57 AM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","1. Strongly agree","2. Agree","1. Strongly agree","Somewhat familiar","Yes","Basic","Poor internet;Lack of knowledge","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/02/03 11:58:48 AM GMT+6","18-24","Student","Rural","Yes","Smart phone","Yes","Yes","Occasionally","Shopping;Bill and Services;Transfer to others","1. Strongly agree","1. Strongly agree","3. Neutral","Very familiar","Yes","Basic","Poor internet","Better internet access","Strongly agree","Yes","Somewhat ready"
"2026/02/03 12:08:26 PM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Often","Shopping;Bill and Services;Transfer to others","2. Agree","3. Neutral","1. Strongly agree","Somewhat familiar","Yes","Basic","No difficulty","Nil ","Agree","Maybe","Somewhat ready"
"2026/02/03 2:50:22 PM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others;","1. Strongly agree","1. Strongly agree","1. Strongly agree","Very familiar","No","None","No difficulty","Better internet access","Strongly agree","Maybe","Somewhat ready"
"2026/02/03 3:49:33 PM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Transfer to others","3. Neutral","2. Agree","1. Strongly agree","Somewhat familiar","Yes","Very little","Poor internet;Security concern","Training or awareness programs","Agree","Yes","Somewhat ready"
"2026/02/03 5:21:14 PM GMT+6","18-24","Student","Urban","Yes","Smart phone","Yes","Yes","Many times ","Shopping;Bill and Services;Transfer to others","2. Agree","2. Agree","2. Agree","Very familiar","Yes","Basic","Poor internet","Better internet access","Agree","Yes","Very ready"
"2026/02/03 5:40:00 PM GMT+6","18-24","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","2. Agree","Somewhat familiar","Yes","Good","Poor internet;No difficulty","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/02/03 5:41:11 PM GMT+6","25-34","Overseas employee","Urban","Yes","Both","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction;Transfer to others","2. Agree","2. Agree","1. Strongly agree","Very familiar","Yes","Basic","Complicated technology","Training or awareness programs;Better internet access","Agree","Yes","Somewhat ready"
"2026/02/03 5:45:12 PM GMT+6","18-24","Student","Semi-Urban","Yes","Smart phone","Yes","Yes","Daily","Shopping;Bill and Services;Business transaction","2. Agree","1. Strongly agree","1. Strongly agree","Somewhat familiar","Yes","Basic","Poor internet","Training or awareness programs","Agree","Yes","Somewhat ready"
